symbol,name,sector_name,fund_type
563210,专精特新ETF,专精特新,ETF-场内
159647,中药ETF,中药,ETF-场内
560080,中药ETF,中药,ETF-场内
513310,中韩半导体ETF,中韩半导体,ETF-场内
159890,云计算ETF,云计算,ETF-场内
561320,交运ETF,交运,ETF-场内
159666,交通运输ETF,交通运输,ETF-场内
515980,人工智能ETF,人工智能,ETF-场内
159805,传媒ETF,传媒,ETF-场内
512980,传媒ETF,传媒,ETF-场内
159537,信创ETF,信创,ETF-场内
562570,信创ETF,信创,ETF-场内
159939,信息技术ETF,信息技术,ETF-场内
562560,信息技术ETF,信息技术,ETF-场内
159857,光伏ETF,光伏,ETF-场内
515790,光伏ETF,光伏,ETF-场内
159301,公用事业ETF,公用事业,ETF-场内
560190,公用事业ETF,公用事业,ETF-场内
159865,养殖ETF,养殖,ETF-场内
516760,养殖ETF,养殖,ETF-场内
516560,养老ETF,养老,ETF-场内
512660,军工ETF,军工,ETF-场内
512710,军工龙头ETF,军工龙头,ETF-场内
159825,农业ETF,农业,ETF-场内
159992,创新药ETF,创新药,ETF-场内
515120,创新药ETF,创新药,ETF-场内
159777,创科技ETF,创科技,ETF-场内
159842,券商ETF,券商,ETF-场内
512000,券商ETF,券商,ETF-场内
159870,化工ETF,化工,ETF-场内
516020,化工ETF,化工,ETF-场内
159828,医疗ETF,医疗,ETF-场内
512170,医疗ETF,医疗,ETF-场内
516820,医疗创新ETF,医疗创新,ETF-场内
159883,医疗器械ETF,医疗器械,ETF-场内
562600,医疗器械ETF,医疗器械,ETF-场内
159873,医疗设备ETF,医疗设备,ETF-场内
159929,医药ETF,医药,ETF-场内
515950,医药龙头ETF,医药龙头,ETF-场内
159813,半导体ETF,半导体,ETF-场内
512480,半导体ETF,半导体,ETF-场内
159516,半导体设备ETF,半导体设备,ETF-场内
561980,半导体设备ETF,半导体设备,ETF-场内
511600,华安日日鑫ETF,华安日日鑫,ETF-场内
511990,华宝添益ETF,华宝添益,ETF-场内
512670,国防ETF,国防,ETF-场内
159707,地产ETF,地产,ETF-场内
159619,基建ETF,基建,ETF-场内
515400,大数据ETF,大数据,ETF-场内
512970,大湾区ETF,大湾区,ETF-场内
515600,央企创新ETF,央企创新,ETF-场内
159996,家电ETF,家电,ETF-场内
561120,家电ETF,家电,ETF-场内
159667,工业母机ETF,工业母机,ETF-场内
560280,工程机械ETF,工程机械,ETF-场内
159745,建材ETF,建材,ETF-场内
516750,建材ETF,建材,ETF-场内
159855,影视ETF,影视,ETF-场内
516620,影视ETF,影视,ETF-场内
512770,战略新兴ETF,战略新兴,ETF-场内
512200,房地产ETF,房地产,ETF-场内
